Bin Size,Error
10,0.00025972276834444345
13,0.0010460273330582751
17,0.0009155339029205276
23,0.0007881391602516106
30,0.00025973801911943143
40,0.00025994299271870524
53,0.0005198258550675178
70,0.0002538299014244438
93,0.00039248617268773965
123,0.000348618106163721
162,0.00023677552639244392
214,0.0002360924563753206
283,0.00023762102217378002
375,0.0002236557835350379
496,0.0002038143190341552
655,0.00019885684314067354
866,0.00020307023235274302
1145,0.00019503016143459652
1513,0.00017481847688034948
2000,0.0001828210168395602
