Bin Size,Error
10,0.0021315660280501517
13,0.0021167377810773227
17,0.0020480937238992547
23,0.0020784635802814574
30,0.001968716341932237
40,0.0019649495356751532
53,0.0018945761467723486
70,0.0019721763138912758
93,0.0018667562502407797
123,0.001871203486650274
162,0.0018518342364116844
214,0.0018604226613703257
283,0.0018636652150448901
375,0.0018936190226320892
496,0.002131194286804488
655,0.0018464512929716299
866,0.001953062356779677
1145,0.0018900848359448077
1513,0.0019255987002731554
2000,0.002180539528992768
