Bin Size,Error
10,0.0016252949978693484
13,0.0015865996493436446
17,0.0015650519163586919
23,0.0015569734876414482
30,0.0015597696897366126
40,0.0015408847359150823
53,0.0014814506534816833
70,0.0015164314024870957
93,0.0015169113649254604
123,0.0014892789988819632
162,0.0014867244821793022
214,0.0014899858642391435
283,0.0014064770462791066
375,0.0014765753389623367
496,0.0014203285206196568
655,0.0015105854569883751
866,0.001550968069287001
1145,0.0014286924714537535
1513,0.001400902961658661
2000,0.0013310246702771132
