Bin Size,Error
10,0.0022080333697120954
13,0.002190228420177699
17,0.002118572924034255
23,0.0021264901326088566
30,0.0021296352315442906
40,0.002118215442394228
53,0.0020900637301075314
70,0.002107499249169849
93,0.00201309014336829
123,0.0020396985403006735
162,0.002042089976861819
214,0.002058169721946028
283,0.002058579224460881
375,0.0018804975213042858
496,0.0018371283173264563
655,0.0017667906620361966
866,0.0019252854975007033
1145,0.0017775603318509177
1513,0.0017798339867897807
2000,0.0020330614489314316
