Bin Size,Error
10,0.002028126170604011
13,0.0019775774295353985
17,0.001897352568944687
23,0.0018846536105980329
30,0.0018693262946752856
40,0.0018318165526919035
53,0.001805221753025762
70,0.0018139823113192963
93,0.001798320062698494
123,0.0017654970810670335
162,0.0017836093305914633
214,0.0017528466957310975
283,0.0017775108588228097
375,0.0018946637320474363
496,0.001873505070807922
655,0.0020069412956723043
866,0.0018236732239348449
1145,0.0017536810188934285
1513,0.002056150935526761
2000,0.0016457863331310624
