Temperature,Squared_Magnetization,Susceptibility,Error_m2,Error_chi
0.5,1.0,0.0,0.0,0.0
0.559322033898305,0.99999802,3.575578809801205e-06,1.328224378635831e-06,0.00023747041921047803
0.6186440677966102,0.9999851500000001,2.423748290806286e-05,3.6710182511149952e-06,0.0005933974707277513
0.6779661016949152,0.9999722799999999,4.127108997914464e-05,6.1666749549482984e-06,0.0009095845558550359
0.7372881355932204,0.99991981,0.00010963959829449485,8.45566644327722e-06,0.0011468605060999562
0.7966101694915254,0.99984162,0.00020255829786606795,7.660781944431336e-06,0.0009616726270658884
0.8559322033898304,0.9996397799999999,0.00043775382969250397,1.7471851075371892e-05,0.0020412657692019565
0.9152542372881356,0.99936785,0.0007372727133986084,2.630466070870443e-05,0.002874027744099071
0.9745762711864407,0.9988292,0.0013184741286504545,4.111104960956732e-05,0.004218351177329142
1.0338983050847457,0.9980280899999999,0.0021370567725140645,4.53281644786159e-05,0.004384199515144337
1.0932203389830508,0.9970962899999999,0.0030305482406941765,4.541718061483398e-05,0.004154439777170413
1.152542372881356,0.99561438,0.004463797619104726,5.0757663263790037e-05,0.004403973724358002
1.211864406779661,0.9935827799999999,0.0062882031663958875,9.353647620046012e-05,0.007718394539618734
1.2711864406779663,0.9911752199999999,0.00874517792531056,0.0001090379776958469,0.00857765424540663
1.3305084745762712,0.9881368999999999,0.011617759221634464,0.00013173615335206724,0.009901188595888046
1.3898305084745763,0.9842205900000001,0.015192445586889253,0.0001481388716542657,0.010658772472685221
1.4491525423728815,0.9789327999999999,0.020662484469004237,0.00016082704063682086,0.011098006312950725
1.5084745762711864,0.9726735699999999,0.028064062226096986,0.00022850491254019497,0.015148078471765426
1.5677966101694916,0.9651508199999999,0.03657664235780958,0.00020680510240320826,0.013190811937069278
1.6271186440677967,0.95592375,0.04830514176796425,0.0003388780004293549,0.020826877109720966
1.6864406779661016,0.9447011599999998,0.06595795449747248,0.00032373931815582463,0.019196602785119407
1.7457627118644068,0.9319254199999999,0.08621195198929128,0.00040273585335801027,0.02306933528943908
1.805084745762712,0.9159591199999999,0.11504474905537941,0.0004936305234484582,0.02734666749620572
1.864406779661017,0.8978857299999999,0.15821997226839976,0.0006731482535482033,0.03610522450849468
1.923728813559322,0.87418565,0.23856283720462487,0.0006625135870116164,0.03443903227637481
1.9830508474576272,0.8475061899999998,0.32614959752754785,0.0009610232678218547,0.0484618570952902
2.0423728813559325,0.81464036,0.4699899810962687,0.001302557573053873,0.06377667785077061
2.101694915254237,0.77259035,0.7230820951913421,0.0013755276942959008,0.06544849513182113
2.1610169491525424,0.72081575,1.0862793176590178,0.0010098907917072055,0.04673220134174504
2.2203389830508478,0.6658804699999998,1.4925902397215542,0.002159820531168035,0.09727435980069801
2.2796610169491527,0.5971036499999999,1.9503917410165321,0.002327881244345383,0.10211523674080107
2.3389830508474576,0.5342518300000001,2.2017490362356895,0.0027195631181597974,0.11627117679088952
2.398305084745763,0.46243451,2.5090538740249078,0.002796805902220426,0.11661593514558657
2.457627118644068,0.39929482999999993,2.6021579385498246,0.0029263510540697285,0.11907221530352681
2.516949152542373,0.33960762000000005,2.614039061915151,0.002720339188479994,0.10808081624263953
2.576271186440678,0.28882564,2.5185135678453943,0.0016419722917637802,0.06373445079872567
2.635593220338983,0.24707991,2.2875791774117378,0.0016251668836445683,0.061662280472687826
2.694915254237288,0.21194251,2.0809490273051887,0.0022058123736381106,0.08185089939915006
2.7542372881355934,0.18504288000000002,1.8946044055021536,0.0013804653034683641,0.0501215094797744
2.8135593220338984,0.1585789,1.659154314374096,0.0010465044029052155,0.03719503600687208
2.8728813559322033,0.13973793,1.479882212398378,0.0010095878296884327,0.03514199525169176
2.9322033898305087,0.12940099,1.3834340850446536,0.001717012282278435,0.05855706627423563
2.9915254237288136,0.11807791,1.2587760986103407,0.0011675594295345304,0.039028898777641555
3.0508474576271185,0.10410227999999999,1.1192212467272213,0.0007682235931550141,0.025180662220081
3.110169491525424,0.09541863,1.017905697101498,0.0012063392487418288,0.03878692952357924
3.169491525423729,0.08925181,0.9297973587044112,0.0012123455627398476,0.03825047497414495
3.228813559322034,0.08251457000000001,0.8569229048195536,0.0012143947444117993,0.037611175811179086
3.288135593220339,0.07560911,0.7826164815346642,0.001019531831526117,0.031006380443320068
3.347457627118644,0.07199887,0.7273096176786074,0.0006462047457694814,0.019304344303999698
3.4067796610169494,0.06758654,0.6845686735442786,0.0010760986784770252,0.031586976134400244
3.4661016949152543,0.06465215,0.637511363909658,0.0009590869774817084,0.0276704800349246
3.5254237288135593,0.059686090000000004,0.5859360651861781,0.0009134927123381998,0.02591157212882392
3.5847457627118646,0.05666566,0.5478290700354609,0.0008335508909598742,0.023252719889660788
3.6440677966101696,0.053548040000000005,0.5101102493562789,0.0006402888564702651,0.017570717456625886
3.7033898305084745,0.05141395,0.4848890878248278,0.000809847581323177,0.021867737893852376
3.76271186440678,0.051009849999999995,0.4720476268131753,0.0009233720849013144,0.024540068923052948
3.8220338983050848,0.046552840000000005,0.43343493416807066,0.0007265257956328873,0.019008878910128764
3.8813559322033897,0.046451120000000005,0.4196411591336246,0.0010214153661855692,0.026315941748885838
3.940677966101695,0.04589793000000001,0.40970874881516134,0.0007553766958643878,0.01916869894881672
4.0,0.042943720000000005,0.379112443975,0.00059942393535794,0.0149855983839485
