Bin Size,Error
10,0.004587685026910982
13,0.004579558308802124
17,0.004576935914992316
23,0.004637451095434326
30,0.0046329421767120245
40,0.004555213809591221
53,0.00448286391326685
70,0.004515210839389013
93,0.004633385633078798
123,0.004577754894872301
162,0.004178334171461517
214,0.00455757722731899
283,0.0039445781427129385
375,0.004091531189751067
496,0.004839398537414863
655,0.004771408666639087
866,0.004368362602899732
1145,0.004346093342908682
1513,0.004724703214492222
2000,0.004687725156637014
