Temperature,Squared_Magnetization,Susceptibility,Error_m2,Error_chi
0.5,0.9999940024989588,5.224385306590307e-05,5.876326913134602e-06,0.0005758800374869834
0.5897435897435898,0.9999862723865056,8.027945482942485e-05,7.511761981296833e-06,0.0006241294411417254
0.6794871794871795,0.9999630154102459,0.00039402219300202436,1.8965763559527986e-05,0.0013676820438587312
0.7692307692307692,0.9998912453144525,0.0001441302465659766,1.5426731301579095e-05,0.0009826827839105826
0.858974358974359,0.9996339525197835,0.0012827203255695654,3.437631092110918e-05,0.001960988960305541
0.9487179487179487,0.9989843565181175,0.002592494251742497,6.289899495007703e-05,0.0032486480905294544
1.0384615384615383,0.9980436817992502,0.002860504796961247,6.811574804608019e-05,0.003214054185581705
1.1282051282051282,0.9962657559350271,0.00443306548720043,8.488582940958498e-05,0.0036867459091301036
1.217948717948718,0.9935573511037069,0.006841633882885966,8.921149488925841e-05,0.003589119299650134
1.3076923076923077,0.9891521199500207,0.011532391352696608,0.00014865443739255454,0.005570169212885826
1.3974358974358974,0.9834594252394835,0.01666940844276255,0.00016730455090068315,0.0058664036104808465
1.4871794871794872,0.975581241149521,0.02560854807656455,0.0002626038074005421,0.008652342688662721
1.5769230769230769,0.9640281882548939,0.03871446033330543,0.0003056040491861164,0.00949608679666121
1.6666666666666667,0.9498618908788006,0.06216167792326714,0.0004527651791905553,0.013311296268202372
1.7564102564102564,0.9315613827571845,0.09133643919129648,0.0006344306289035504,0.01769922528225818
1.8461538461538463,0.9063837401082881,0.1435718097578167,0.000601238411980295,0.015957869517976984
1.935897435897436,0.8717207163681798,0.24210882086378796,0.0009799918961640943,0.024804827994299186
2.0256410256410255,0.8319965347771762,0.37378046479979343,0.0012375667315299382,0.02993658258169255
2.1153846153846154,0.7818090462307373,0.5464049780684264,0.001041560579516158,0.02412633051461062
2.2051282051282053,0.7173678300708037,0.7628373016516367,0.001882005931820074,0.04181992250823431
2.2948717948717947,0.6470285381091212,1.0165403212309632,0.0017909450764549573,0.03824017923022817
2.3846153846153846,0.5709009912536442,1.2169123159468018,0.00189542737037264,0.03894797532023776
2.4743589743589745,0.4968634402332362,1.3432425948623006,0.002253390172189395,0.04462413076739826
2.5641025641025643,0.4300710703873387,1.3614664382184494,0.00177794237071216,0.03397647870430936
2.6538461538461537,0.36729162848812996,1.347985760641705,0.002179396402508222,0.04023986980863003
2.7435897435897436,0.31523245314452314,1.2704173167426296,0.00161275860528064,0.02880356724010566
2.8333333333333335,0.2734164098292378,1.1731503882756307,0.0017552274550474557,0.030355110104938316
2.923076923076923,0.23376253227821742,1.043284155074544,0.0015853918795440958,0.026576174401831278
3.0128205128205128,0.21155985006247394,0.9537821538378805,0.0018262007501975235,0.02970101815853164
3.1025641025641026,0.18731475218658888,0.8677913038218917,0.0016554365952557732,0.026144953169700696
3.1923076923076925,0.16561899208663056,0.7676676700679613,0.0014062918049137145,0.021585732041687608
3.282051282051282,0.1509882882132445,0.705225586122705,0.0014614564923479477,0.021819088725601014
3.371794871794872,0.13817562682215742,0.6340694573592615,0.0010800545504318338,0.015695697687264126
3.4615384615384617,0.12642492294877133,0.5769533248667574,0.00124169121762049,0.017576829013872267
3.551282051282051,0.1164804664723032,0.5250999334665,0.0011272200143835815,0.015553194566693315
3.641025641025641,0.11003062057476053,0.48879623288623214,0.0010935718333286157,0.014717012489373132
3.730769230769231,0.10237454394002497,0.4496796624467913,0.0012058253068460043,0.015837334442492884
3.8205128205128207,0.09682525614327364,0.41937445941103946,0.0012933097223617848,0.016587348184116578
3.91025641025641,0.0910043481882549,0.3830451502011913,0.0006555015164179685,0.00821418621557205
4.0,0.08716788004997916,0.35717679905306116,0.0008178821037613416,0.010019055771076434
