Bin Size,Error
10,0.0014596972064224486
13,0.0016087349968728181
17,0.0014704486922027479
23,0.0013944393967747664
30,0.0013091024066252774
40,0.0012878085990355866
53,0.0012618173301363381
70,0.001221797381295572
93,0.001185164496924471
123,0.0011353697978856135
162,0.0011316004433722952
214,0.0010896793623826214
283,0.0010913508961144342
375,0.0010830559523352318
496,0.0010346534853414668
655,0.0010679805163045241
866,0.0009941934154220889
1145,0.001073018417224217
1513,0.0011481112203506213
2000,0.0011795241148446266
