Bin Size,Error
10,0.0026073631977934436
13,0.0026387525249340574
17,0.0025946172404724827
23,0.0026223816397379805
30,0.002586266724833808
40,0.002626392629595021
53,0.0026378104117555493
70,0.0026697778573817857
93,0.002558610017942535
123,0.0025351485431371066
162,0.0026487126020064713
214,0.0025659465999981236
283,0.0025401758285327897
375,0.002575816637048198
496,0.0024651947989307705
655,0.002498385230181005
866,0.002640943610750028
1145,0.0023293497488094538
1513,0.0024551564436393974
2000,0.0024636782392286477
