Bin Size,Error
10,0.003923686237384113
13,0.003963296328410503
17,0.003942293713931577
23,0.003912576754961032
30,0.003974853179530364
40,0.003863834818900777
53,0.003912598759111595
70,0.0038286993208630376
93,0.0038806966629671077
123,0.003837027489428059
162,0.003656069454440351
214,0.0038580007084399884
283,0.00363298983468836
375,0.00376156472127131
496,0.0038566739535306196
655,0.003317374351505039
866,0.0035471076211035916
1145,0.0034636787793712897
1513,0.0033171876808989103
2000,0.0030504654788245022
