Bin Size,Error
10,0.0009238220729326076
13,0.0009436031481902093
17,0.0009372612095146893
23,0.0009311009728611475
30,0.0009343285585640115
40,0.0009440988506242342
53,0.0009272226089759066
70,0.0009358719494674662
93,0.0009270225990669104
123,0.0009217040081771262
162,0.0008833173628586518
214,0.0009306369805757731
283,0.0008494264619901847
375,0.0009128089810821393
496,0.0009236497625002165
655,0.0008837916031935872
866,0.000809695652354778
1145,0.0008697485307439009
1513,0.0005993353757601336
2000,0.0007609929286793669
