Bin Size,Error
10,0.0019763343904750878
13,0.001982037944738887
17,0.001960301495954736
23,0.0019081181336912684
30,0.001866352282479986
40,0.001823394943077708
53,0.001820003426795
70,0.0017255216877144217
93,0.0018242656871395666
123,0.00176949832317737
162,0.0017621605956143777
214,0.0017184809141046623
283,0.001571097817737728
375,0.0016714511079187248
496,0.0016432189995649444
655,0.0015439499411220928
866,0.001623374235954257
1145,0.0014899035152434368
1513,0.0014489368992523508
2000,0.0016534408975519901
